name,country,latitude,longitude,timezone,population,region
Al Qusais 1,AE,25.27925,55.36995,Asia/Dubai,48378,03
Al Twar 3,AE,25.25159,55.39408,Asia/Dubai,11185,03
Al Khabaisi,AE,25.26628,55.33379,Asia/Dubai,6737,03
Al Khawaneej 1,AE,25.24882,55.48545,Asia/Dubai,12241,03
Halwan,AE,25.34586,55.42165,Asia/Dubai,19389,06
Al Sajaah,AE,25.31532,55.63211,Asia/Dubai,53079,06
Lahbab,AE,25.03763,55.59135,Asia/Dubai,53079,03
Al Madam,AE,24.97355,55.77781,Asia/Dubai,8652,06
Mohammed Bin Zayed City,AE,24.34794,54.55368,Asia/Dubai,85000,01
Masdar City,AE,24.43208,54.61582,Asia/Dubai,15000,01
Kuhsān,AF,34.65389,61.19778,Asia/Kabul,12087,11
Tukzār,AF,35.94831,66.42132,Asia/Kabul,12021,33
Zindah Jān,AF,34.34264,61.74675,Asia/Kabul,10104,11
Zarghūn Shahr,AF,32.84734,68.44573,Asia/Kabul,13737,29
Zaṟah Sharan,AF,33.14641,68.79213,Asia/Kabul,7366,29
Zaranj,AF,30.95962,61.86037,Asia/Kabul,49851,19
Yangī Qal‘ah,AF,37.46572,69.61131,Asia/Kabul,6541,26
Bāzār-e Yakāwlang,AF,34.73525,66.97379,Asia/Kabul,65000,05
Tīr Pul,AF,34.59431,61.26895,Asia/Kabul,6979,11
Tarinkot,AF,32.62998,65.87806,Asia/Kabul,10000,39
Taloqan,AF,36.73605,69.53451,Asia/Kabul,64256,26
Tagāw-Bāy,AF,35.69941,66.06164,Asia/Kabul,9096,33
Tagāb,AF,34.85501,69.64917,Asia/Kabul,6400,14
Shīnḏanḏ,AF,33.30294,62.1474,Asia/Kabul,29264,11
Shibirghān,AF,36.66757,65.7529,Asia/Kabul,55641,31
Shahrak,AF,34.10737,64.3052,Asia/Kabul,15967,09
Sidqābād,AF,35.02298,69.35112,Asia/Kabul,7407,14
Sar-e Pul,AF,36.21544,65.93249,Asia/Kabul,52121,33
Sangīn,AF,32.07275,64.8359,Asia/Kabul,13579,10
Sang-e Chārak,AF,35.84972,66.43694,Asia/Kabul,15377,33
Aībak,AF,36.26468,68.01551,Asia/Kabul,47823,32
